id,name,rank,rankPoints,wins,games,winRatio,averageDamage,kills,killDeathRatio,averageRank,grade,grade2
account.3f79c50389bc43c5ad934d3d70adf1c2,Twitch_todol,1,7726,397,1789,0.22191168,397,6062,4.348637,20.387926,1,1
account.b595b519e3a24a4ca9913f7b48905a77,twitch_Mongtenna,2,7391,307,1808,0.16980088,401,6112,4.06383,25.689713,1,1
account.dd94e8c15eac442a8954c4dd1375dae9,eeeeeeeeeeeeeeQ,3,7171,271,1194,0.22696817,310,3189,3.4475675,14.907035,1,1
account.f856ae9ed09e44aba7afb7c98f6a0baf,QQMQQ_,4,7035,357,835,0.42754492,600,4488,9.311203,9.871857,1,1
account.ce37497cea794b8b9df7334aa5cc1d29,CSkiller-007,5,7035,161,1312,0.12271342,344,3709,3.2224152,20.772865,1,1
account.cb6af943e4ec427e93e21b68f51da378,Qun-376023803-fz,6,6960,365,1007,0.36246276,372,3065,4.737249,13.854022,1,1
account.38aeda2df88a4423a2172f33bed3de68,mdy908713,7,6944,102,1909,0.053431116,265,4046,2.236595,38.960712,1,1
account.d7e6ca9144be48449e2e2f9e5f07e294,Kemal_SunaL,8,6912,102,1413,0.072186835,274,3041,2.3143075,30.431705,1,1
account.7c8dc4e801db48e59e9b54ebf7ffe698,huya-10291639,9,6902,185,1195,0.15481171,410,4216,4.1618953,26.12385,1,1
account.52aa8c14e05c45eea359fe62c619fc71,2218854316yy,10,6884,63,1325,0.04754717,107,1124,0.88994455,15.939623,1,1
account.d51dd55fab8f4bc6bcb6e648232b1df0,kesinisb,11,6875,63,1983,0.031770047,297,4450,2.3177083,43.09279,1,1
account.a50bec063c7d4bf0b0f9ec87cef9f68f,DouYu--6346455,12,6830,193,1362,0.14170338,390,4507,3.855432,34.641705,1,1
account.c2da0efb32654edeab6b7fbacdd1b7ab,IMBatMan-Lxy,13,6770,6,3306,0.001814882,131,3627,1.0990909,51.115246,1,1
account.1d61584f5c81434ba4d5344d55a55b9f,edisonxianfeng,14,6758,156,851,0.18331374,299,1917,2.7503586,16.54524,1,1
account.dd29b1eb04ed47d79081167ebfacad1e,thenajat,15,6724,66,1587,0.0415879,226,2947,1.9349967,36.977314,1,1
account.8833c74411ce4fbda0b357380a6c6760,Neeeeeeeeeeeee,16,6724,65,1428,0.04551821,308,4146,3.0373626,38.011204,1,1
account.de1227b7eaaf42d7aaed1861450de71d,ninggang1976,17,6704,3,2089,0.0014360938,126,1735,0.8317354,35.616085,1,1
account.80ae1f45a1ba4ad88927cffe3f24ec48,AICHI-PUTAO,18,6684,74,1569,0.0471638,282,3480,2.326203,36.0529,1,1
account.a0f26b340f774cc684c69ba28c16806b,GIA7777777,19,6681,130,1282,0.101404056,339,3713,3.2147186,38.336975,1,1
account.1f6d2128c4b342cfa2b1bbe22cb00015,Min-m4a1,20,6679,112,1471,0.07613868,321,4077,3.0,38.725357,1,1
account.f034b7d1574b410d88a187e3060ed82e,Ray2022,21,6676,22,4326,0.0050855293,151,5408,1.2562137,55.257282,1,1
account.257184f365594932a079ab0f451f406d,carima,22,6631,58,1390,0.04172662,260,2850,2.1364317,38.26403,1,1
account.4038c3dd77de408dbfcbe747bcc89ca7,longshadadui,23,6631,40,1360,0.029411765,219,2060,1.560606,29.415442,1,1
account.8f733b5eac6a444eb1244a5be50372e3,Ha_noJI_4apJIuka,24,6598,55,1344,0.04092262,279,2856,2.2139535,34.749256,1,1
account.d7c78b929a0f4da5a3e4260e3bc8242f,meiyumuxiaoOvO,25,6570,158,1471,0.107409924,406,5126,3.8951368,48.088375,1,1
account.a2465801e62143b3b1fca6cd29949889,NJHunter,26,6565,104,895,0.11620112,322,2372,2.9987357,26.165363,1,1
account.336af7f6f0344dbc8c35516a74cbed14,laochazatan,27,6537,48,1010,0.047524754,195,1468,1.5228215,25.49901,1,1
account.e555200a46ce435aa58a29d5f3c6101c,LZY-111022,28,6531,22,1448,0.01519337,127,1464,1.0266479,28.491713,1,1
account.f85457e5f6144eb1a5cdc4d91bc87ac8,laozipapa,29,6521,18,1524,0.011811024,225,3106,2.062417,41.82874,1,1
account.dc3963cc1a61429681d5ccbbf4b34ff0,4eI7yXa_T-3,30,6520,52,1831,0.028399782,178,2626,1.4752809,38.073185,1,1
account.a6c675475dd54cdea0daacc0cb755076,sitty159,31,6512,22,1707,0.012888107,129,1724,1.0225385,39.609257,1,1
account.9919e82e260c4bbcb4c862ba5f0999cf,DKH-keywebxpy,32,6506,141,1783,0.0790802,328,5413,3.2965896,32.5401,1,1
account.e0c2a073c8b142a18e5c5c103a0c1212,unknowN-Rover-_-,33,6502,153,813,0.18819188,393,2721,4.110272,25.03813,1,1
account.c6223ded1db645719bda1db71a03bde6,NeiHanTVppx,34,6501,47,993,0.04733132,252,1884,1.9894403,29.817724,1,1
account.41ceaed83ee7453fadad19ec6a660834,CTAPbIY,35,6499,60,1168,0.051369864,295,2650,2.3895402,35.30137,1,1
account.a88356d6e5ba4aceba429cdaa07274dd,BoLuo_i,36,6499,8,2907,0.0027519779,129,2884,0.9948258,50.696594,1,1
account.6a097d00cde846ebabce07bcc632ad00,MaSento1,37,6491,93,1077,0.08635098,222,1812,1.8414634,34.915504,1,1
account.7fac7106dc484cc6b60abf76518399da,AJW_QaQ,38,6488,133,805,0.16521738,280,1868,2.7551622,19.368944,1,1
account.f93f51acf1134acaacef1d7189463729,HB-L3,39,6485,20,1050,0.01904762,134,1176,1.1406401,27.170477,1,1
account.6219b24ec0364774acb82028941d7203,0i_I_iQAQi_I_i0,40,6480,40,3392,0.011792453,177,5508,1.6431981,55.405365,1,1
account.fd920dbdb61649198f4dce8031113f68,PlayPlayPC,41,6478,34,2215,0.015349887,167,3020,1.3846859,27.595938,1,1
account.318bcf9201cf45a6b37cacfda27e751d,ININBRAVE,42,6474,40,976,0.040983606,187,1427,1.5245726,27.163935,1,1
account.a715b2b0a7714e79b2d4e7a53bedc073,LONG-ADC,43,6472,97,986,0.09837728,320,2601,2.922472,29.855984,1,1
account.0764243c5e6c4b59b9c225e339ccdec5,TLYYSYS,44,6467,84,1074,0.07821229,248,2042,2.060545,34.267227,1,1
account.4402c8c893524edf9211ed21f0c803e0,ZhangBing66666,45,6450,43,1025,0.04195122,217,1758,1.7902241,32.65951,1,1
account.c68b26cc070943968bc0f1727a31f116,YYtv7342-Cc,46,6450,150,844,0.17772512,475,3586,5.1597123,32.597157,1,1
account.845bf220be79400689547769ff8606ee,Timo7624,47,6444,59,1017,0.058013767,206,1599,1.6691023,25.785645,1,1
account.0be1790139314e47acdce071e463913a,Hebe3C20190613,48,6438,23,1329,0.017306246,236,2615,2.000765,39.550037,1,1
account.a8457aed97474bfd83cd5c33b4091f9e,YOYO_LJH,49,6430,15,1380,0.010869565,122,1255,0.9194139,33.67536,1,1
account.f5418e27430b4c1bbe180ab51af1cec1,DouYuTv-7320893,50,6428,79,850,0.09294118,237,1781,2.309987,24.012941,1,1
account.753769c5bd1b41be99df2959f7194296,nmmmpxx,51,6428,40,860,0.046511628,97,707,0.86114496,17.986046,1,1
account.f79f254c742d46f981eaec562374fefc,lesysunshine2-25,52,6428,44,1683,0.026143791,195,2566,1.5655888,41.415924,1,1
account.e72f55fb4052404ea219f5f1462820e9,Ws_dashuai,53,6425,21,1520,0.0138157895,196,2482,1.6557705,43.776974,1,1
account.217ba42961cf45648f72098d6c45d490,amoslHl,54,6421,30,1528,0.019633507,168,1954,1.3044059,36.941753,1,1
account.755bf13ae8cd4eac91c72f74d38f2f33,Xiaohao-32,55,6419,30,809,0.037082817,185,1296,1.6636714,22.611866,1,1
account.8f431a52baf0477cbb4e98a1146ee9d4,19681035yu,56,6419,18,1837,0.0097985845,115,1617,0.88895,41.99401,1,1
account.922e682a52254dc0975393a413e67b3b,mql121891,57,6419,23,1478,0.0155615695,76,891,0.61237115,34.66238,1,1
account.2f6652cebbbb4d64812c4db1576057cf,No1_SCAL,58,6417,162,1014,0.1597633,304,2790,3.2517483,21.489151,1,1
account.7c808bc2a9e24fb3b8c73401f77ee564,baadmax,59,6415,6,1656,0.0036231885,70,835,0.5060606,29.247585,1,1
account.17801b771bdf422789fdb91778731d2e,zOlezc,60,6414,138,570,0.24210526,497,2185,5.0461893,15.882456,1,1
account.30a7d6beed39447e8091e525f9f53ebd,c24m,61,6412,25,1235,0.020242915,136,1282,1.0586293,30.19514,1,1
account.7295f249a87b446c966b5ffacb333da9,Citipost,62,6410,22,1811,0.0121479845,271,4217,2.3571827,52.998894,1,1
account.60806225b0f543fb9f6d91c26cc1d962,Edwinw0w,63,6408,46,678,0.06784661,304,1848,2.9194312,20.511799,1,1
account.c2cfa1f35f104a319b7ded231ff9b4f3,WG-130,64,6407,54,1245,0.043373495,298,3030,2.5419464,44.73815,1,1
account.332a8cc139f14ae98bd5552b41178399,LoneWolfAndy,65,6407,18,2578,0.0069821565,167,3442,1.3445313,55.413887,1,1
